strategy,param_set,window,elapsed_s,n_trades,wins,losses,win_rate,avg_win_usd,avg_loss_usd,profit_factor,sharpe,max_dd_pct,total_return_pct,total_pnl_usd,mc_pf_median,mc_pf_p05,mc_pf_p95,mc_sharpe_median,mc_sharpe_p05,mc_max_dd_p95,mc_pnl_median,mc_pnl_p05,mc_prob_profit_pct
SFP,baseline,W1_0518_0531,31.4,33,19,14,57.6,6.72,-6.69,1.362,3.037,0.02,0.02,33.94,1.3686019641825533,0.7293826764803516,2.6961076658089325,2.1955329647109343,-2.220771776600578,0.07,33.9893,-36.445899999999995,78.2
SFP,baseline,W2_0601_0614,136.1,63,15,48,23.8,11.83,-10.0,0.37,-15.67,0.35,-0.33,-302.61,0.3649256237371393,0.184043879835987,0.6513747931188347,-6.8665971781336,-12.205370091418095,0.45,-302.9189,-442.289,0.1
SFP,baseline,W3_0615_0628,187.2,60,29,31,48.3,11.76,-8.22,1.339,3.125,0.1,0.06,86.22,1.3390345411137912,0.80572918611876,2.2437264581286773,1.8928777868151099,-1.413048002330702,0.13,84.9186,-58.1651,83.1
SFP,vol18_wick50,W1_0518_0531,33.7,28,17,11,60.7,6.26,-6.55,1.478,4.045,0.03,0.02,34.43,1.4937634124978316,0.7161350464143685,3.1857000519930314,2.7193263852073755,-2.274969610600732,0.06,34.496199999999995,-29.623300000000008,80.7
SFP,vol18_wick50,W2_0601_0614,133.2,57,14,43,24.6,7.65,-9.3,0.268,-18.894,0.33,-0.32,-292.67,0.267410875415037,0.13913192981318212,0.4584304202502967,-9.481028742760891,-14.049307863235887,0.4,-291.4639,-397.3884,0.0
SFP,vol18_wick50,W3_0615_0628,187.9,56,25,31,44.6,10.47,-8.57,0.985,-1.647,0.1,-0.03,-3.93,0.9811435775792132,0.555326775003184,1.6321703063267197,-0.12722138046593523,-3.8922509071433464,0.18,-5.311000000000001,-142.7353,47.8
SFP,strict_sweep,W1_0518_0531,31.9,25,13,12,52.0,7.19,-6.79,1.147,0.309,0.03,0.0,11.95,1.169894243556456,0.5341154109061351,2.53958388143471,1.0337728773516834,-4.254884409121644,0.07,13.0396,-49.9119,63.1
SFP,strict_sweep,W2_0601_0614,136.9,56,16,40,28.6,8.46,-9.58,0.353,-15.106,0.29,-0.27,-247.61,0.35651532019942883,0.18200683029603854,0.6203734436151613,-7.186499156711721,-12.074952489817397,0.37,-244.60500000000002,-365.70550000000003,0.0
SFP,strict_sweep,W3_0615_0628,188.7,50,21,29,42.0,8.76,-41.11,0.154,-5.314,0.12,-1.03,-1008.3,0.16945052831634413,0.05300410777414911,1.0821792852589343,-2.4858718825782904,-4.71855706418045,2.94,-978.0435,-2913.7347,7.7
SFP,strict_plus_trailing,W1_0518_0531,33.2,25,13,12,52.0,6.9,-6.79,1.101,-0.33,0.03,-0.0,8.2,1.105632126672742,0.503122582665177,2.433017154692401,0.6511058390977297,-4.559741940729143,0.07,8.628999999999996,-53.3805,59.2
SFP,strict_plus_trailing,W2_0601_0614,139.1,56,16,40,28.6,8.46,-9.58,0.353,-15.106,0.29,-0.27,-247.61,0.35651532019942883,0.18200683029603854,0.6203734436151613,-7.186499156711721,-12.074952489817397,0.37,-244.60500000000002,-365.70550000000003,0.0
