strategy,param_set,window,elapsed_s,n_trades,wins,losses,win_rate,avg_win_usd,avg_loss_usd,rr_realized,profit_factor,sharpe,max_dd_pct,total_return_pct,total_pnl_usd,mc_pf_median,mc_pf_p05,mc_pf_p95,mc_sharpe_median,mc_sharpe_p05,mc_max_dd_p95,mc_pnl_median,mc_pnl_p05,mc_prob_profit_pct
CL,baseline,W1_0518_0531,38.5,35,15,20,42.9,7.486,-4.752,1.575,1.181,0.35,0.04,0.0,17.24,1.1441985309675666,0.5861304395785814,2.132493280292442,0.9341959171107769,-3.830223281021416,0.07,13.4861,-48.9901,66.7
CL,baseline,W2_0601_0614,146.6,65,29,36,44.6,17.839,-8.927,1.998,1.61,5.737,0.15,0.17,195.96,1.6265401118090779,1.0137281917794014,2.624032084045053,3.312086269894156,0.0951703602606576,0.13,201.1215,5.15650000000001,95.6
CL,baseline,W3_0615_0628,190.5,65,24,41,36.9,9.345,-6.884,1.357,0.795,-5.079,0.11,-0.08,-57.97,0.7846695010477501,0.4907374937396234,1.2483647283694252,-1.7111059336803178,-5.147550923788739,0.19,-60.7191,-168.2447,20.5
CL,trail_ema9,W1_0518_0531,37.0,35,15,20,42.9,7.217,-4.752,1.519,1.139,-0.193,0.04,-0.0,13.21,1.104552493218984,0.5624343779492208,2.061655105899734,0.7001193126821188,-4.145024002892845,0.07,9.4296,-51.451,62.1
CL,trail_ema9,W2_0601_0614,132.6,65,29,36,44.6,16.634,-8.924,1.864,1.502,4.622,0.17,0.14,161.12,1.526182153783092,0.9275022657453346,2.4457768182833317,2.835829062539713,-0.5060398132646124,0.13,163.7623,-27.734300000000005,92.1
CL,trail_ema9,W3_0615_0628,182.0,65,25,40,38.5,9.185,-6.879,1.335,0.834,-4.328,0.11,-0.07,-45.56,0.8211602484129555,0.49938889943091264,1.2910239750300054,-1.3980670384720282,-4.982328530994131,0.18,-50.14699999999999,-161.5961,25.7
CL,sl_to_be_1r,W1_0518_0531,31.2,35,12,23,34.3,7.651,-3.412,2.242,1.17,-0.17,0.04,-0.0,13.34,1.1542988104616867,0.5350433676716444,2.335400873375032,0.8918639006148513,-3.927269370149006,0.06,12.554499999999997,-43.8628,63.3
CL,sl_to_be_1r,W2_0601_0614,132.0,65,24,41,36.9,17.024,-6.576,2.589,1.515,4.02,0.17,0.11,138.95,1.5224101254807698,0.8776944025322485,2.492687196633688,2.5521826251505155,-0.8067239959543535,0.13,138.074,-41.4806,90.2
CL,sl_to_be_1r,W3_0615_0628,178.9,65,20,45,30.8,10.067,-5.878,1.713,0.761,-5.684,0.12,-0.09,-63.18,0.7516375019340574,0.4317854660670124,1.2400390394460157,-1.8949321357656503,-5.601191795050233,0.19,-65.18149999999999,-176.8573,16.1
CL,trail_ema9_plus_be,W1_0518_0531,30.7,35,12,23,34.3,7.191,-3.412,2.108,1.1,-1.081,0.05,-0.01,7.82,1.0728692267661886,0.5018129446571455,2.194870143138661,0.44576905685430546,-4.400520860444872,0.06,5.749600000000003,-48.9839,56.7
